BfArM: AMIce-ÖFF/ Arzneimittel © BfArM
 ;Nr.;Eingangsnummer;Arzneimittelbezeichnung;Darreichungsform;Zielgruppe;Anwendungsart;Anwendungsgebiete;Indikation/ATC;Bescheiddatum der Zulassung;Zulassungsstatus;Zulassungs-/Reg.-Nr. (AMG 1976), Register-Nr. (AMG 1961) oder Kennziffer;Verkehrsfähigkeit;Parallelimportinformationen;EU-Verfahrensnummer;Zulassungsinhaber;Hersteller/Endfreigabe;Vertreiber;Örtlicher Vertreter;Wirkstoffe;Packungsgrößen-Gruppe/Verkaufsabgrenzung;AM-Klassifikationen
;72;"'2750752";Eylea 40 mg/ml Injektionslösung in Durchstechflasche;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 21.10.2019);S01LA05 Aflibercept;02.12.2019;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8146789 European Pharma B.V.;8146789 European Pharma B.V.;-;-;Aflibercept (35907) 40 Milligramm;2750752_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;73;"'2752691";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP 0,1ml 40 mg/ml Injektionslösung in einer Durchstechflasche;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).Dieses Arzneimittel wird angewendet bei Frühgeborenen zur Behandlung• einer Frühgeborenen-Retinopathie (retinopathy of prematurity~ ROP) in Zone I (Stadium 1+, 2+, 3 oder 3+), Zone II (Stadium 2+ oder 3+) oder einer AP-ROP (aggressiven posterioren Frühgeborenen-Retinopathie).;S01LA05 Aflibercept;27.02.2020;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8021444 MEDICOPHARM AG Arzneimittel & Medikal Produkte;8021444 MEDICOPHARM AG Arzneimittel & Medikal Produkte;-;-;Aflibercept (35907) 40 Milligramm;2752691_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;74;"'2752694";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 23.10.2019);S01LA05 Aflibercept;19.12.2019;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8015343 Aaha!Pharma GmbH;8015343 Aaha!Pharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;2752694_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;75;"'2798737";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1).- einer Virusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Zentralvenenverschluss (ZVV) (siehe Abschnitt 5.1). (Stand: 26.08.2013)4.2 Dosierung und Art der AnwendungKinder und JugendlicheDie Sicherheit und Wirksamkeit wurde bei Kindern und Jugendlichen nicht erwiesen. Es gibt in den Anwendungsgebieten feuchte AMD und ZVV keinen relevanten Nutzen dieses Arzneimittels bei Kindern und Jugendlichen.;S01LA05 Aflibercept;24.06.2014;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8029457 CC - Pharma GmbH;8029457 CC - Pharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;2798737_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;76;"'2798768";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1).- einer Virusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Zentralvenenverschluss (ZVV) (siehe Abschnitt 5.1). (Stand: 26.08.2013)4.2 Dosierung und Art der AnwendungKinder und JugendlicheDie Sicherheit und Wirksamkeit wurde bei Kindern und Jugendlichen nicht erwiesen. Es gibt in den Anwendungsgebieten feuchte AMD und ZVV keinen relevanten Nutzen dieses Arzneimittels bei Kindern und Jugendlichen.;S01LA05 Aflibercept;22.07.2014;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;3237116 Orifarm GmbH;3237116 Orifarm GmbH;-;-;Aflibercept (35907) 40 Milligramm;2798768_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;77;"'2799692";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (sieheAbschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalenVenenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (sieheAbschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 12.04.2017);S01LA05 Aflibercept;15.05.2017;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;1009796 Docpharm GmbH;8029457 CC - Pharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;2799692_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;78;"'2799676";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (sieheAbschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalenVenenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (sieheAbschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 12.04.2017);S01LA05 Aflibercept;17.05.2017;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;3263935 EMRA-MED Arzneimittel GmbH;3263935 EMRA-MED Arzneimittel GmbH;-;-;Aflibercept (35907) 40 Milligramm;2799676_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;79;"'2751803";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 12.04.2017);S01LA05 Aflibercept;30.08.2017;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8055874 AxiCorp Pharma GmbH;8055874 AxiCorp Pharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;2751803_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;80;"'2752572";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 12.04.2017);S01LA05 Aflibercept;06.07.2018;erloschen;EU/1/12/797/002;Nein;;EMEA/H/C/2392;8154139 Lunapharm Deutschland GmbH;8154139 Lunapharm Deutschland GmbH;-;-;Aflibercept (35907) 40 Milligramm;2752572_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;81;"'2753065";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 30.07.2018);S01LA05 Aflibercept;17.07.2019;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8167521 NMG Pharma GmbH;8167521 NMG Pharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;2753065_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;82;"'2709553";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: 28.10.2015);S01LA05 Aflibercept;25.11.2012;verlängert;EU/1/12/797/002;Ja;;EMEA/H/C/2392/01;3001000 Bayer Aktiengesellschaft;3011760 Bayer Pharma Aktiengesellschaft ~ 8079774 GP Grenzach Produktions GmbH;-;-;Aflibercept (35907) 40 Milligramm;2709553_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;83;"'2752868";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 30.07.2018);S01LA05 Aflibercept;21.12.2018;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8154547 adequapharm GmbH;8154547 adequapharm GmbH;-;-;Aflibercept (35907) 40 Milligramm;2752868_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;84;"'2750445";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 28.10.2015);S01LA05 Aflibercept;09.03.2016;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8090132 HAEMATO PHARM GmbH;8090132 HAEMATO PHARM GmbH;-;-;Aflibercept (35907) 40 Milligramm;2750445_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;85;"'2799785";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (sieheAbschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalenVenenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (sieheAbschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 12.04.2017);S01LA05 Aflibercept;18.05.2017;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;3216120 kohlpharma GmbH;3216120 kohlpharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;2799785_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;86;"'2750344";Eylea 40 mg/ml Injektionslösung in Durchstechflasche - OP0,1ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (sieheAbschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalenVenenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (sieheAbschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: KE vom 12.04.2017);S01LA05 Aflibercept;11.05.2017;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392;8049833 A.C.A. Müller ADAG Pharma Aktiengesellschaft;8049833 A.C.A. Müller ADAG Pharma Aktiengesellschaft;-;-;Aflibercept (35907) 40 Milligramm;2750344_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;87;"'7002755";Eylea 40 mg/ml Injektionslösung in einer Fertigspritze - OP 1 40 mg/ml Injektionslösung in einer Fertigspritze;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;05.03.2025;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8021444 MEDICOPHARM AG Arzneimittel & Medikal Produkte;8021444 MEDICOPHARM AG Arzneimittel & Medikal Produkte;-;-;Aflibercept (35907) 40 Milligramm;7002755_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;88;"'2710971";Eylea 40 mg/ml Injektionslösung in Fertigspritze - OP0,09ml;Injektionslösung;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),- einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).(Stand: 28.10.2015);S01LA05 Aflibercept;25.11.2012;verlängert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;3001000 Bayer Aktiengesellschaft;3011760 Bayer Pharma Aktiengesellschaft ~ 8079774 GP Grenzach Produktions GmbH;-;-;Aflibercept (35907) 40 Milligramm;2710971_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;89;"'7013550";Lytenava 25 mg/ml Injektionslösung;Injektionslösung;Mensch;intravitreale Anwendung;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung der neovaskulären (feuchten) altersbedingten Makuladegeneration (neovascular age-related macular degeneration, nAMD).(Stand der Information: 05/2024);S01LA08 Bevacizumab;28.05.2024;zugelassen;EU/1/24/1798/001;Ja;;EMEA/H/C/5723;1011652 Outlook Therapeutics Limited;1014089 Alcura Health Espana S.A. (BS 1);-;-;Bevacizumab gamma (52025) ist gleich 7,5 Milligramm;7013550_1, Originalpackung, 0,3 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;90;"'7016491";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;04.01.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;3237116 Orifarm GmbH;8196161 Orifarm GmbH  (BS 1) ~ 8086484 Orifarm Supply A/S (BS 1) ~ 8144508 Orifarm Supply s.r.o.  (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7016491_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;91;"'7016846";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;07.02.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8050167 EurimPharm Arzneimittel GmbH;1009119 EurimPharm Arzneimittel GmbH (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7016846_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
